timestamp,voltage,current,is_anomaly
2026-09-08 10:40:23,230.58,3.15,0
2026-09-08 10:41:23,231.4,3.27,0
2026-09-08 10:42:23,231.72,2.98,0
2026-09-08 10:43:23,232.39,3.1,0
2026-09-08 10:44:23,227.78,3.01,0
2026-09-08 10:45:23,226.82,2.75,0
2026-09-08 10:46:23,230.44,3.05,0
2026-09-08 10:47:23,231.64,2.87,0
2026-09-08 10:48:23,229.08,2.89,0
2026-09-08 10:49:23,231.04,2.89,0
2026-09-08 10:50:23,229.73,3.24,0
2026-09-08 10:51:23,229.72,3.04,0
2026-09-08 10:52:23,229.41,2.81,0
2026-09-08 10:53:23,230.05,2.78,0
2026-09-08 10:54:23,226.41,2.94,0
2026-09-08 10:55:23,230.7,2.83,0
2026-09-08 10:56:23,231.76,3.2,0
2026-09-08 10:57:23,226.69,2.98,0
2026-09-08 10:58:23,230.5,2.94,0
2026-09-08 10:59:23,227.1,2.92,0
2026-09-08 11:00:23,230.91,2.93,0
2026-09-08 11:01:23,226.27,3.02,0
2026-09-08 11:02:23,226.42,2.91,0
2026-09-08 11:03:23,232.27,3.22,0
2026-09-08 11:04:23,231.13,3.25,0
2026-09-08 11:05:23,228.92,3.17,0
2026-09-08 11:06:23,229.34,3.15,0
2026-09-08 11:07:23,227.16,2.72,0
2026-09-08 11:08:23,227.47,3.04,0
2026-09-08 11:09:23,233.32,3.06,0
2026-09-08 11:10:23,230.3,2.93,0
2026-09-08 11:11:23,232.94,2.85,0
2026-09-08 11:12:23,232.26,3.21,0
2026-09-08 11:13:23,230.79,3.26,0
2026-09-08 11:14:23,233.32,3.11,0
2026-09-08 11:15:23,231.32,2.87,0
2026-09-08 11:16:23,230.01,2.84,0
2026-09-08 11:17:23,231.55,2.71,0
2026-09-08 11:18:23,227.32,3.12,0
2026-09-08 11:19:23,231.71,3.22,0
2026-09-08 11:20:23,229.15,3.15,0
2026-09-08 11:21:23,226.98,3.16,0
2026-09-08 11:22:23,226.48,3.25,0
2026-09-08 11:23:23,227.68,2.8,0
2026-09-08 11:24:23,233.53,2.93,0
